0.499	0
1.499	0
2.499	0.089
3.499	0.051
4.499	0.042
5.499	0.034
6.499	0.028
7.499	0.025
8.499	0.022
9.499	0.018
10.49	0.016
11.49	0.013
12.49	0.015
13.49	0.014
14.49	0.012
15.49	0.012
16.49	0.009
17.49	0.008
18.49	0.01
19.49	0.011
20.49	0.009
21.49	0.01
22.49	0.009
23.49	0.011
24.49	0.011
25.49	0.011
26.49	0.01
27.49	0.011
28.49	0.012
29.49	0.01
30.49	0.012
31.49	0.012
32.49	0.012
33.49	0.013
34.49	0.013
35.49	0.012
36.49	0.014
37.49	0.017
38.49	0.016
39.49	0.016
40.49	0.014
41.49	0.017
42.49	0.017
43.49	0.018
44.49	0.018
45.49	0.02
46.49	0.019
47.49	0.018
48.49	0.017
49.49	0.018
50.49	0.015
51.49	0.018
52.49	0.015
53.49	0.013
54.49	0.013
55.49	0.01
56.49	0.01
57.49	0.01
58.49	0.008
59.49	0.009
60.49	0.005
